iter	RMSE
0	30.12388175
1	27.44476882
2	25.26329551
3	23.46952046
4	22.02271829
5	20.87141015
6	19.95603811
7	19.21978671
8	18.69715591
9	18.18562021
10	17.87096702
11	17.51599292
12	17.24289457
13	17.03670797
14	16.84869114
15	16.6959949
16	16.54376594
17	16.41025752
18	16.22356079
19	16.13003607
20	15.96997956
21	15.86425905
22	15.74719876
23	15.63331389
24	15.53265942
25	15.41638639
26	15.35849011
27	15.28008209
28	15.19908706
29	15.11960605
30	15.06779358
31	15.0058308
32	14.96606413
33	14.92420526
34	14.83650605
35	14.77693902
36	14.74108774
37	14.6985626
38	14.64538832
39	14.54417105
40	14.4633865
41	14.42769187
42	14.3920692
43	14.35149102
44	14.31615414
45	14.23568317
46	14.19742344
47	14.11168212
48	14.03231324
49	13.95628209
50	13.94067464
51	13.87664675
52	13.84028825
53	13.79360671
54	13.76294552
55	13.73308923
56	13.72141026
57	13.68541001
58	13.58860241
59	13.57876474
60	13.49906125
61	13.48149604
62	13.44858974
63	13.3823558
64	13.36504185
65	13.359706
66	13.33962749
67	13.28038434
68	13.21114377
69	13.15012849
70	13.08455191
71	13.06071492
72	13.04512496
73	13.02104671
74	12.99980139
75	12.91627626
76	12.84565454
77	12.77220166
78	12.73356992
79	12.7151126
80	12.63435279
81	12.61588993
82	12.5720516
83	12.56942972
84	12.55091767
85	12.54791761
86	12.50015431
87	12.43637868
88	12.38907163
89	12.34993772
90	12.33192354
91	12.26766107
92	12.22023014
93	12.16256627
94	12.12776271
95	12.10045416
96	12.0562685
97	12.0320034
98	12.02322134
99	11.98101026
100	11.97891407
101	11.91498006
102	11.86860935
103	11.85550492
104	11.79978976
105	11.77285971
106	11.73353099
107	11.67421945
108	11.66536493
109	11.63577298
110	11.59402972
111	11.54581371
112	11.51688171
113	11.47445033
114	11.45321207
115	11.39713493
116	11.39227997
117	11.3707541
118	11.31949647
119	11.31406053
120	11.28004448
121	11.24956973
122	11.23782841
123	11.20498877
124	11.17021419
125	11.16671313
126	11.14131354
127	11.11312071
128	11.07923416
129	11.0383486
130	11.02151817
131	10.99268806
132	10.9866136
133	10.95258877
134	10.94279232
135	10.91178117
136	10.87588857
137	10.86510296
138	10.83828545
139	10.80712427
140	10.7890803
141	10.77066494
142	10.74457709
143	10.73271948
144	10.71422495
145	10.69272828
146	10.66290424
147	10.65581836
148	10.62784406
149	10.6111239
150	10.57692765
151	10.55647048
152	10.52227906
153	10.5044131
154	10.50306837
155	10.4796375
156	10.45681666
157	10.42695371
158	10.40206919
159	10.36395719
160	10.35458827
161	10.35400893
162	10.33614187
163	10.31336938
164	10.30130891
165	10.30038188
166	10.27648133
167	10.24604591
168	10.22670529
169	10.1872987
170	10.14452034
171	10.09864608
172	10.08735194
173	10.08514367
174	10.07083892
175	10.0524326
176	10.03247687
177	10.01513524
178	10.00009351
179	9.965404877
180	9.947583822
181	9.932882499
182	9.913002019
183	9.889698061
184	9.880671879
185	9.875052242
186	9.852674474
187	9.832143717
188	9.813146314
189	9.800598914
190	9.771538913
191	9.769755894
192	9.763894673
193	9.739804064
194	9.727168363
195	9.710967368
196	9.683846086
197	9.657485802
198	9.642723525
199	9.622966382
200	9.609257306
201	9.595714308
202	9.588603951
203	9.558318776
204	9.557402407
205	9.550202768
206	9.526835694
207	9.524061095
208	9.494221357
209	9.475821116
210	9.45988744
211	9.44186955
212	9.43988891
213	9.423670497
214	9.416120354
215	9.397037063
216	9.377129896
217	9.364337347
218	9.339620073
219	9.324897515
220	9.317294541
221	9.304305396
222	9.284891359
223	9.270490491
224	9.254877491
225	9.237980929
226	9.224404356
227	9.207455303
228	9.196426049
229	9.18168851
230	9.177298737
231	9.159573512
232	9.142457272
233	9.119451835
234	9.091129208
235	9.080115747
236	9.073092541
237	9.045938616
238	9.034062718
239	9.01809497
240	9.001275785
241	8.984646287
242	8.970603262
243	8.961181272
244	8.948079233
245	8.94041525
246	8.922634173
247	8.916116824
248	8.905398222
249	8.872877194
250	8.855793521
251	8.83822042
252	8.823465434
253	8.814643921
254	8.800069463
255	8.786961288
256	8.786707679
257	8.778534459
258	8.763578491
259	8.762465701
260	8.754363351
261	8.733950155
262	8.723406205
263	8.71438966
264	8.702457867
265	8.67982079
266	8.673913056
267	8.657875148
268	8.651759797
269	8.627320404
270	8.608346254
271	8.596238215
272	8.588840033
273	8.574374388
274	8.556487645
275	8.551651172
276	8.544390099
277	8.534079754
278	8.521792707
279	8.509451405
280	8.489788612
281	8.471342305
282	8.448597923
283	8.443957365
284	8.438054547
285	8.437944272
286	8.422156508
287	8.413500298
288	8.407883269
289	8.407798879
290	8.396939956
291	8.382143126
292	8.375984481
293	8.3643193
294	8.351779224
295	8.337503842
296	8.320610857
297	8.31235728
298	8.295417328
299	8.274072671
300	8.261247679
301	8.250125273
302	8.241122347
303	8.232680849
304	8.222900615
305	8.218727636
306	8.210916884
307	8.206079783
308	8.19210751
309	8.188255582
310	8.181049871
311	8.175284534
312	8.164910943
313	8.147096331
314	8.135907496
315	8.120034274
316	8.114767235
317	8.110132996
318	8.100119739
319	8.081353739
320	8.074366465
321	8.05820079
322	8.041213858
323	8.033343351
324	8.017962258
325	8.010369188
326	8.000692856
327	7.985074888
328	7.974369227
329	7.94971967
330	7.939231492
331	7.931314572
332	7.9212173
333	7.914716952
334	7.909139239
335	7.891386669
336	7.878134808
337	7.868457921
338	7.856350554
339	7.844410526
340	7.833060516
341	7.822839751
342	7.802774908
343	7.789535402
344	7.782624363
345	7.777074468
346	7.756391178
347	7.747968473
348	7.725315944
349	7.7154704
350	7.703404475
351	7.686614752
352	7.678826136
353	7.678731314
354	7.661038682
355	7.648715158
356	7.640185802
357	7.640086306
358	7.633470338
359	7.613761781
360	7.601691621
361	7.59473965
362	7.579920547
363	7.575513
364	7.575434044
365	7.575331957
366	7.567432448
367	7.558547478
368	7.543944344
369	7.531751441
370	7.531676337
371	7.519114717
372	7.5076086
373	7.498592664
374	7.492836822
375	7.481659874
376	7.464214444
377	7.452936196
378	7.438728236
379	7.430276418
380	7.426464319
381	7.399656672
382	7.388030443
383	7.383903938
384	7.364793652
385	7.358537109
386	7.336741534
387	7.333016529
388	7.32466763
389	7.317037071
390	7.308086356
391	7.300552832
392	7.294977244
393	7.281998585
394	7.271695234
395	7.262620432
396	7.252804505
397	7.25269216
398	7.248205185
399	7.248109647
400	7.238753708
401	7.227780701
402	7.217829835
403	7.204061756
404	7.193064787
405	7.187677422
406	7.177565764
407	7.172868705
408	7.162283944
409	7.157946101
410	7.148809214
411	7.136919368
412	7.132066358
413	7.124914948
414	7.124857592
415	7.118790394
416	7.114463334
417	7.105110472
418	7.083544779
419	7.074968981
420	7.067976236
421	7.06192963
422	7.058420203
423	7.045433457
424	7.038224002
425	7.025545067
426	7.025493617
427	7.018176261
428	7.008222875
429	6.999264009
430	6.991381883
431	6.977517781
432	6.973635305
433	6.967012961
434	6.959376344
435	6.949799814
436	6.942667186
437	6.942570422
438	6.932053757
439	6.927523311
440	6.913646469
441	6.904396054
442	6.904288938
443	6.904251573
444	6.895033905
445	6.894998292
446	6.883936347
447	6.87684051
448	6.867160249
449	6.857286915
450	6.845259207
451	6.841042199
452	6.835856482
453	6.831348943
454	6.824678217
455	6.815901399
456	6.804114484
457	6.797570277
458	6.793120423
459	6.785964523
460	6.776676293
461	6.769437195
462	6.765051133
463	6.754036108
464	6.747593326
465	6.733813739
466	6.722975844
467	6.718239484
468	6.700294439
469	6.690306078
470	6.6810628
471	6.674302708
472	6.664960284
473	6.649907535
474	6.637591928
475	6.627628503
476	6.613146985
477	6.610240478
478	6.604824257
479	6.595941444
480	6.586413196
481	6.572656979
482	6.571429055
483	6.561656191
484	6.560458856
485	6.55539365
486	6.547120408
487	6.533348898
488	6.533313638
489	6.529073081
490	6.520853724
491	6.509548139
492	6.500507004
493	6.493192639
494	6.483493043
495	6.474589213
496	6.471880099
497	6.464640887
498	6.462721686
499	6.462021787
