iter	RMSE
0	32.90136345
1	32.05621262
2	31.27713553
3	30.57531273
4	29.88587926
5	29.2079744
6	28.5749417
7	27.9764147
8	27.41364385
9	26.88855119
10	26.39374271
11	25.95179739
12	25.50032348
13	25.10635489
14	24.72488164
15	24.39882459
16	24.05849749
17	23.73498505
18	23.43982647
19	23.13449387
20	22.86402237
21	22.62209845
22	22.38110043
23	22.13176702
24	21.89890721
25	21.67843714
26	21.48689329
27	21.30284604
28	21.14339819
29	20.97815579
30	20.82068014
31	20.65890371
32	20.52690052
33	20.39904317
34	20.27018635
35	20.14310645
36	20.05323176
37	19.92824456
38	19.79793008
39	19.69845389
40	19.59521692
41	19.50662854
42	19.40566156
43	19.33755675
44	19.26053937
45	19.1863341
46	19.12738442
47	19.06473003
48	18.99934021
49	18.94358332
50	18.88003728
51	18.82488915
52	18.78092554
53	18.72927149
54	18.68285574
55	18.62859069
56	18.58717971
57	18.5369873
58	18.49742243
59	18.45026845
60	18.42150021
61	18.36957558
62	18.33605565
63	18.29921154
64	18.26149885
65	18.22648801
66	18.18736585
67	18.15220813
68	18.12930249
69	18.101574
70	18.08954373
71	18.06283847
72	18.04719106
73	18.02101953
74	18.00496367
75	17.9805481
76	17.95878758
77	17.93109548
78	17.90763193
79	17.87876988
80	17.87121185
81	17.86403249
82	17.83518368
83	17.80377634
84	17.77879384
85	17.75396902
86	17.7346852
87	17.71007289
88	17.68564907
89	17.6688736
90	17.65211686
91	17.62944684
92	17.60773501
93	17.58569092
94	17.56881129
95	17.55310177
96	17.5361278
97	17.50701191
98	17.48933757
99	17.46681643
100	17.45089181
101	17.43876025
102	17.41828088
103	17.40989679
104	17.38473491
105	17.36767673
106	17.35403487
107	17.34091584
108	17.32351032
109	17.31297773
110	17.29862898
111	17.28454007
112	17.27214756
113	17.2587741
114	17.24144453
115	17.22359849
116	17.21014841
117	17.19812623
118	17.17496815
119	17.16497541
120	17.15217848
121	17.12649489
122	17.11295884
123	17.11065257
124	17.075005
125	17.05070004
126	17.04376282
127	17.02424895
128	17.02149267
129	17.01147
130	16.99562607
131	16.98447829
132	16.97831176
133	16.95771251
134	16.93618228
135	16.92348156
136	16.91205036
137	16.87234911
138	16.84613752
139	16.83078496
140	16.82627894
141	16.79575373
142	16.77678938
143	16.76562279
144	16.75411257
145	16.73961252
146	16.73362509
147	16.72451903
148	16.71437022
149	16.68347945
150	16.6707604
151	16.66277364
152	16.64801728
153	16.62015968
154	16.60054672
155	16.58825389
156	16.56138301
157	16.54087564
158	16.53875565
159	16.53143024
160	16.52473197
161	16.51872574
162	16.50600937
163	16.49716865
164	16.48276318
165	16.47289055
166	16.4679055
167	16.46149908
168	16.45921789
169	16.44078034
170	16.43362833
171	16.42231847
172	16.41355091
173	16.41125591
174	16.40411735
175	16.39609725
176	16.38347743
177	16.37182502
178	16.36563091
179	16.35527698
180	16.34688196
181	16.34434325
182	16.33192243
183	16.32429015
184	16.3225999
185	16.32025262
186	16.31762947
187	16.29431793
188	16.29231607
189	16.28999536
190	16.28199128
191	16.27357165
192	16.25791233
193	16.2555819
194	16.24901344
195	16.24427178
196	16.23385636
197	16.22965138
198	16.22748562
199	16.22337649
200	16.21383003
201	16.21217775
202	16.21016318
203	16.19604481
204	16.19303267
205	16.18156531
206	16.17185599
207	16.16530807
208	16.15717861
209	16.14504796
210	16.14288071
211	16.14067438
212	16.13089703
213	16.1234857
214	16.11497798
215	16.11295542
216	16.10397901
217	16.10259749
218	16.10020577
219	16.08158807
220	16.07980383
221	16.07529413
222	16.06497808
223	16.05116861
224	16.04931827
225	16.04144171
226	16.0326175
227	16.024617
228	16.01621392
229	16.00680226
230	16.00490364
231	15.99729212
232	15.99461597
233	15.98738669
234	15.97838995
235	15.97268454
236	15.9637722
237	15.95082961
238	15.94400542
239	15.93670583
240	15.93148965
241	15.92321298
242	15.92130862
243	15.9193185
244	15.9011078
245	15.89459496
246	15.88164971
247	15.86704018
248	15.85860234
249	15.85747809
250	15.85156808
251	15.85052862
252	15.84864934
253	15.83587747
254	15.82908005
255	15.82079865
256	15.79702699
257	15.78792354
258	15.78672651
259	15.77734828
260	15.77499269
261	15.77386982
262	15.76986839
263	15.76447583
264	15.75784986
265	15.75414119
266	15.74094173
267	15.7342929
268	15.73255672
269	15.72434454
270	15.7166125
271	15.71306282
272	15.70335965
273	15.69734341
274	15.68299701
275	15.67752729
276	15.67162708
