iter	Passed	Remaining
407	5416	1221
408	5427	1207
409	5439	1194
410	5452	1180
411	5467	1167
412	5480	1154
413	5495	1141
414	5515	1129
415	5531	1116
416	5545	1103
417	5558	1090
418	5573	1077
419	5590	1064
420	5607	1052
421	5624	1039
422	5639	1026
423	5653	1013
424	5666	999
425	5678	986
426	5692	973
427	5706	959
428	5718	946
429	5732	933
430	5750	920
431	5765	907
432	5784	895
433	5800	882
434	5820	869
435	5836	856
436	5851	843
437	5868	830
438	5885	817
439	5897	804
440	5908	790
441	5919	776
442	5931	763
443	5942	749
444	5953	735
445	5964	722
446	5975	708
447	5987	694
448	5998	681
449	6009	667
450	6022	654
451	6033	640
452	6045	627
453	6057	613
454	6070	600
455	6083	586
456	6094	573
457	6107	560
458	6118	546
459	6129	532
460	6140	519
461	6152	506
462	6164	492
463	6176	479
464	6189	465
465	6200	452
466	6213	439
467	6226	425
468	6240	412
469	6253	399
470	6264	385
471	6277	372
472	6287	358
473	6298	345
474	6311	332
475	6326	318
476	6340	305
477	6351	292
478	6362	278
479	6372	265
480	6383	252
481	6395	238
482	6406	225
483	6417	212
484	6429	198
485	6441	185
486	6452	172
487	6465	158
488	6479	145
489	6491	132
490	6508	119
491	6522	106
492	6538	92
493	6551	79
494	6568	66
495	6582	53
496	6596	39
497	6609	26
498	6622	13
499	6634	0
