iter	RMSE
0	30.17102055
1	27.36313484
2	25.20222367
3	23.43887355
4	22.13127252
5	20.99824406
6	20.14035565
7	19.47326325
8	19.37852146
9	18.9612231
10	18.88702064
11	18.44985058
12	18.27969656
13	18.20795585
14	18.14713507
15	17.79282215
16	17.73627635
17	17.67243878
18	17.40779453
19	17.15671423
20	16.93043707
21	16.87384239
22	16.83977918
23	16.80046785
24	16.76696686
25	16.58694579
26	16.42561147
27	16.38537132
28	16.25682486
29	16.21155263
30	16.17868406
31	16.01422375
32	15.98769123
33	15.95416287
34	15.91051
35	15.88048075
36	15.83642033
37	15.80628024
38	15.77170205
39	15.60315569
40	15.56460212
41	15.53398941
42	15.44714476
43	15.40764829
44	15.37670717
45	15.33637564
46	15.30076844
47	15.26718493
48	15.23406053
49	15.20181287
50	15.17146781
51	14.94275705
52	14.91228795
53	14.88242585
54	14.85393489
55	14.82637244
56	14.69006858
57	14.66331851
58	14.63675039
59	14.61131542
60	14.48772035
61	14.46276805
62	14.3294373
63	14.3052083
64	14.28159017
65	14.2582966
66	14.23565078
67	14.21349996
68	14.19181659
69	14.03332108
70	14.01159008
71	13.99042293
72	13.96985386
73	13.94964772
74	13.92985431
75	13.91036884
76	13.8913023
77	13.82863364
78	13.80976258
79	13.79128283
80	13.77305345
81	13.70859337
82	13.69063994
83	13.67304427
84	13.65574763
85	13.5817675
86	13.56452177
87	13.54633251
88	13.52964447
89	13.51324542
90	13.49699701
91	13.48106942
92	13.46536652
93	13.39157445
94	13.37584139
95	13.36038348
96	13.345089
97	13.2360963
98	13.22082634
99	13.20581102
100	13.18989263
101	13.17516984
102	13.16060387
103	13.14622855
104	13.13194502
105	13.11789762
106	13.10395206
107	13.09012484
108	13.07638821
109	13.05894089
110	13.04549773
111	13.03214187
112	13.01891445
113	13.00578105
114	12.99270836
115	12.97978949
116	12.96706567
117	12.95442437
118	12.94185416
119	12.92939992
120	12.85425443
121	12.84181381
122	12.82949953
123	12.81732803
124	12.80519879
125	12.79309756
126	12.78110927
127	12.76927383
128	12.75744691
129	12.68664436
130	12.67496856
131	12.66337054
132	12.60744048
133	12.59584872
134	12.48585519
135	12.47431842
136	12.40630677
137	12.39483054
138	12.38351648
139	12.37224658
140	12.36110391
141	12.34841152
142	12.33753017
143	12.32674055
144	12.31610293
145	12.30551006
146	12.29497798
147	12.2845346
148	12.27412334
149	12.26380889
150	12.25356557
151	12.24339345
152	12.23328462
153	12.22332614
154	12.21340045
155	12.20260642
156	12.1927877
157	12.15085173
158	12.05201645
159	12.0418906
160	12.03199305
161	12.02216297
162	12.01244572
163	12.00267564
164	11.9930697
165	11.98354726
166	11.97407496
167	11.96459463
168	11.9552249
169	11.94597866
170	11.90609081
171	11.89675808
172	11.88761519
173	11.87843311
174	11.86933466
175	11.86031519
176	11.85136556
177	11.84244623
178	11.8335866
179	11.82480658
180	11.81606848
181	11.80738353
182	11.79874136
183	11.79013036
184	11.78165864
185	11.77313638
186	11.76470803
187	11.75636334
188	11.74802087
189	11.7397018
190	11.73140937
191	11.72311874
192	11.71490127
193	11.70671722
194	11.69859858
195	11.6905521
196	11.68249139
197	11.62284814
198	11.61468756
199	11.54500411
200	11.53681494
201	11.52872856
202	11.52076162
